user,text
Snapdeal_Help,@inayasSam Hi! Sincere apologies for the unpleasant experience. Please “Private Message” us the order ID by clickin… https://t.co/xYPBA8qfHm
inayasSam,"@Snapdeal_Help Hi, my mother had ordered a dress of a red colour but a different coloured dress has been delivered.… https://t.co/Np3A3aEZop"
Snapdeal_Help,@SahajSi09163375 Hi! Please update your email id on the product description page to get notified once it is available. Thanks! Ashi
SahajSi09163375,@Snapdeal_Help How long does it take to restock
MSRAUTELA7,"@PMOIndia @narendramodi डिजिटल इंडिया 13 साल पहले से
#CBS- core banking 
#Internet Banking
#Results on line
#LPG co… https://t.co/sD0SJAE0Q4"
MSRAUTELA7,"@sambitswaraj तुमको शायद पता नहीं 
#CBS- core banking 
#Internet Banking
#Results on line
#LPG connection
#NIC esta… https://t.co/kYaeGzpZdM"
vikashs33575210,@snapdeal thanku sir Mare product ki return or refund solution ke liye
VidhyaDeviJ,"RT @SinghHimself: @Flipkart It has become like snapdeal. Order ID-OD125335008480515000. I booked my order, it was dispatched, left banglore…"
bedabratdeka99,RT @sapnamadan: Has anyone recently bought from Snapdeal? Are they reliable? Are they delivering actually?
Snapdeal_Help,@Abhishe41500085 Your concern has been escalated and you will be contacted by our team at the earliest. Thanks! Ashi
Abhishe41500085,@Snapdeal_Help What happening give me answer
Snapdeal_Help,@Rajeshgautam33 We're working to get this resolved on priority. Appreciate your patience. Thanks! Ashi
Snapdeal_Help,@Rajeshgautam33 Hi! Our team got in touch with you and updated you on this. Please send your product manually &amp; we'… https://t.co/AWt0zEMw5N
Rajeshgautam33,"@Snapdeal_Help I haven't got any help yet
No response"
Snapdeal_Help,@umeshmehtaa711 Hi! I apologize for the disappointing experience you've had. I’ve shared this with my team. We'll c… https://t.co/QDpwIwVItj
MoiSherni,"@Snapdeal_Help That goes without saying. We know how to deal with fraudsters.
But one thing is obvious: customer's… https://t.co/4Rms74rcbr"
umeshmehtaa711,"@sapnamadan snapdeal is flop show.. worst and irresponsible, don't trust. buy from Amazon &amp; Flipkart. please check reviews before buying."
Snapdeal_Help,@MoiSherni Hi! Please do not respond to any Phone Call/Email/SMS/Letter claiming to offer rewards/lucky draw prizes… https://t.co/ZBbbUmapwf
MoiSherni,"@sapnamadan Shop from Snapdeal at ur risk. Ur data is comprised and how.
The fraudsters who called my brother to of… https://t.co/FZUAP6t2Ma"
Snapdeal_Help,"@SaadKha52557811 Hi! Apologies for this experience, please reach out to us via “Private Message” to share your orde… https://t.co/1WPIwBL0gm"
SaadKha52557811,@snapdeal I had booked an order from your website Ajmal company's auth mukhlatt and today was date and neither trak… https://t.co/QAqKna0iCj
Snapdeal_Help,"@SahajSi09163375 Hi! Thanks for showing your interest in shopping with us. This item is temporarily out of stock, w… https://t.co/hchJPkhuPA"
SahajSi09163375,@snapdeal Can you please do this product available. I'm really happy to buy 😊 https://t.co/B8NXIa8dYb
king_of_Hawai,RT @sapnamadan: Has anyone recently bought from Snapdeal? Are they reliable? Are they delivering actually?
Anonymo23431267,@sapnamadan Is @snapdeal still exist?
nitinsharma1,"(4/4) contd...

Schlumberger
Shuttl
Simulanis
Snapdeal
Swiggy
Swvl
Teach For India
The Times Group
Truecaller
Uber… https://t.co/gcrFOYZuGf"
rebel_124,@Snapdeal_Help Don’t buy from Fraud  @snapdeal  @MIB_India  @GoI_MeitY  @cmohry  snap deal doing fraud with Consumers
Snapdeal_Help,@rebel_124 We've already updated you on this. Do let us know if you need any further help. Thanks! Sam
rebel_124,@Snapdeal_Help Don’t buy from @snapdeal
Snapdeal_Help,@mandawat15 Glad to hear from you!
DaveyRoshaan,RT @sapnamadan: Has anyone recently bought from Snapdeal? Are they reliable? Are they delivering actually?
Snapdeal_Help,@Babu41465356 We've already updated you on this. Do let us know if you need any further help. Thanks! Sam
Babu41465356,@Snapdeal_Help 24 hours waiting
sapnamadan,@Snapdeal_Help Thank you
Snapdeal_Help,@sapnamadan Thanks for sharing the order details. I've shared this with my team and we'll take care of it. Thanks! Jay
sapnamadan,@Snapdeal_Help done. pls check.
Snapdeal_Help,"@sapnamadan Hi! Please be assured that it's completely safe &amp; secure to order with us.

Kindly share your order det… https://t.co/FBS1Z9EbAs"
Snapdeal_Help,"@SnehalS66132699 We understand your concern here. Be assured, that we're closely following up on this and will sure… https://t.co/u2uAf8TJUH"
sapnamadan,Has anyone recently bought from Snapdeal? Are they reliable? Are they delivering actually?
SnehalS66132699,@snapdeal @Snapdeal_Help @1kunalbahl neither I have received refund nor my pick up request done. Is this way you ar… https://t.co/793uPOV6yF
kushgrwl,Where are Snapdeal Oyo and Boat IPOs???
deepak09joshi,"RT @snapdealdiaries: Labij’s fitness mantra is not about being better than someone else, it’s about being better than he used to be. Don’t…"
snapdealdiaries,"Labij’s fitness mantra is not about being better than someone else, it’s about being better than he used to be. Don… https://t.co/MktZpjfYyf"
_Ta_ti_ana_,@goldencircle22 @AmazonHelp @Flipkart @Snapdeal_Help @MojashimM @amazon @indiatvnews @ABPNews I will advise you to… https://t.co/PdZcUkC6P9
GanuShruti,@cartoonpi Maybe Snapdeal will do even better? Target market scenes
Snapdeal_Help,@satishk73846287 So sorry to disappoint you. Please wait till the requested time. We are working on it and will sha… https://t.co/vUeoG9wGQ1
satishk73846287,@Snapdeal_Help Your snapdeal guy called me up ...but he is not aware of anything ...why he is working with Snapdeal… https://t.co/mNTgY70yTa
Snapdeal_Help,@satishk73846287 I've escalated this to my team and we'll connect with you with an update on the issue. Thanks! Aditya
satishk73846287,"@Snapdeal_Help Plz share your direct message ...i will arrange a call for you
@1kunalbahl"
Snapdeal_Help,@satishk73846287 We've arranged a call for you. Kindly allow us some time. Thanks! Sam
satishk73846287,"@Snapdeal_Help You still think that you can help me?
@1kunalbahl"
Snapdeal_Help,@satishk73846287 We will connect with you at the earliest and help you out. Thanks! Aditya
satishk73846287,"@Snapdeal_Help Sorry for what ?
You only know how to irritate your customers and make ...you planned everything and did"
Snapdeal_Help,@satishk73846287 Really sorry for the unpleasant experience. Your concern has been escalated and you will be contac… https://t.co/K3HOvQNo9t
